,match_id,id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,player_id,player_name,position_id,position_name,location_x,location_y,duration,shot_statsbomb_xg,shot_end_location_x,shot_end_location_y,shot_end_location_z,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,opoosition_gk_id,opposition_gk_name,shot_one_on_one,under_pressure,shot_key_pass_id,shot_deflected,shot_first_time,shot_open_goal,shot_redirect
0,265958,c49c5561-9253-40a2-a6ce-77f9cd91b828,342,1,00:07:31.666,7,31,16,Shot,15,217,Barcelona,3,From Free Kick,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,94.7,41.1,1.351,0.082942344,120.0,42.8,2.1,97,Goal,62,Free Kick,38,Left Foot,93,Normal,6792.0,Pau López Sabata,,,,,,,
1,303696,31756ddc-aa4f-49e3-bbb9-4a940b5c96fa,2023,2,00:04:02.186,49,2,16,Shot,80,217,Barcelona,5,Other,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,22,Right Center Forward,108.2,39.7,1.037736,0.76,120.0,37.6,1.1,97,Goal,88,Penalty,38,Left Foot,93,Normal,6378.0,Jan Oblak,True,,,,,,
2,69244,d6900667-0cab-4f00-9427-23c9a14be32a,961,1,00:18:10.649,18,10,16,Shot,41,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,112.5,28.0,0.143896,0.05730407,120.0,39.9,0.3,97,Goal,87,Open Play,38,Left Foot,93,Normal,6768.0,Diego López Rodríguez,,True,656f0bfe-e990-43ef-98f6-6935a2e873aa,True,,,
3,69244,639582e4-5d3c-47dd-9908-73da1dc8758f,3837,2,00:42:46.765,87,46,16,Shot,200,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,111.5,41.2,1.1287,0.3550983,120.0,41.4,0.2,97,Goal,87,Open Play,38,Left Foot,92,Lob,6768.0,Diego López Rodríguez,,,decbdb65-dbf4-4273-9cce-7fffb9487b25,,,,
4,266620,8f395456-04bf-4445-8a2d-4286aab7e312,312,1,00:07:07.086,7,7,16,Shot,20,217,Barcelona,3,From Free Kick,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,113.4,36.5,0.7681,0.55241543,120.0,42.4,0.2,97,Goal,87,Open Play,38,Left Foot,93,Normal,8697.0,Andrés Eduardo Fernández Moreno,,,e8156055-d7fd-4068-8bf4-846db5fbde98,,True,,
5,266620,878c32a3-c121-4ffa-bfa0-738a741e2f5b,556,1,00:13:39.791,13,39,16,Shot,32,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,118.0,32.9,0.3865,0.47797856,120.0,42.5,0.2,97,Goal,87,Open Play,38,Left Foot,93,Normal,8697.0,Andrés Eduardo Fernández Moreno,,,9d8a4069-918d-449e-9a13-6774ac681cd4,,True,True,
6,266620,f174a9b1-4af0-4810-9595-32f9aa2a2adf,2397,2,00:12:36.175,57,36,16,Shot,135,217,Barcelona,4,From Throw In,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,112.6,39.5,0.8414,0.6137417,120.0,36.7,2.2,97,Goal,87,Open Play,38,Left Foot,93,Normal,8697.0,Andrés Eduardo Fernández Moreno,,,,,True,,
7,69340,4f3a27e3-d10d-49ea-887f-faeffa1e4c63,1635,1,00:34:13.633,34,13,16,Shot,64,217,Barcelona,5,Other,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,108.0,40.0,0.6008,0.76,120.0,38.7,0.2,97,Goal,88,Penalty,38,Left Foot,93,Normal,26103.0,Idriss Carlos Kameni,True,,,,,,
8,69340,d21b7eeb-e20e-4424-b7dd-2b469cedc7c1,2619,2,00:13:46.229,58,46,16,Shot,113,217,Barcelona,5,Other,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,108.1,40.1,0.566,0.76,120.0,43.4,1.9,97,Goal,88,Penalty,38,Left Foot,93,Normal,26103.0,Idriss Carlos Kameni,True,,,,,,
9,69340,d3b73047-3292-48ea-93d1-f854e221a4d6,2851,2,00:18:53.049,63,53,16,Shot,123,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,112.1,41.8,0.9909,0.84631765,120.0,40.5,0.5,97,Goal,87,Open Play,38,Left Foot,91,Half Volley,26103.0,Idriss Carlos Kameni,True,,37a5c53f-2cd4-424b-aaa1-798dbe1b186f,,,True,
10,266724,4dfff862-2822-4bfd-a57f-a31d647b9080,2025,1,00:43:05.041,43,5,16,Shot,74,217,Barcelona,4,From Throw In,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,96.4,39.7,1.3154,0.050947238,120.0,38.4,0.2,97,Goal,87,Open Play,38,Left Foot,93,Normal,26146.0,Dudú Aouate,,,586ab51d-8cea-4d11-85b2-9cc383a6f577,,,,
11,266724,0aac36bc-6687-457c-908e-4701bc4ce95a,3162,2,00:24:17.110,69,17,16,Shot,125,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,103.9,33.5,0.708,0.11039698,120.0,37.1,2.4,97,Goal,87,Open Play,38,Left Foot,93,Normal,26146.0,Dudú Aouate,,,1490ef08-86b5-4cee-a4d6-7e94d0e5ecab,,,,
12,9855,26248d89-bd50-4087-8bce-d7cf7edd523d,1406,1,00:29:40.143,29,40,16,Shot,56,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,22,Right Center Forward,100.1,40.2,0.934451,0.09744359,120.0,43.4,0.2,97,Goal,87,Open Play,38,Left Foot,93,Normal,6395.0,Kepa Arrizabalaga Revuelta,,,f88a9598-a9ec-4514-b88e-159c67763a92,,,,
13,68341,465daefb-f76b-4a9f-9b5b-5a0c5390473c,4074,2,00:41:01.114,86,1,16,Shot,179,1220,Recreativo Huelva,4,From Throw In,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,102.3,34.5,1.048018,0.17644668,120.0,42.1,0.7,97,Goal,87,Open Play,38,Left Foot,93,Normal,26079.0,Javier López Vallejo,,,,,,,
14,9592,c09c6e64-612b-4ba2-931e-5cde922a24b3,1176,1,00:25:09.245,25,9,16,Shot,45,217,Barcelona,4,From Throw In,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,22,Right Center Forward,110.0,39.5,0.480919,0.484256,120.0,37.0,1.9,97,Goal,87,Open Play,38,Left Foot,93,Normal,6792.0,Pau López Sabata,,True,5442dccb-c1de-4753-8b11-a5e9fb175027,,,,
15,9592,5656d749-a0c6-4469-bdea-a07ab0919ba9,1492,1,00:34:49.293,34,49,16,Shot,60,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,22,Right Center Forward,116.1,33.8,0.667974,0.17877983,120.0,39.6,0.2,97,Goal,87,Open Play,40,Right Foot,93,Normal,6792.0,Pau López Sabata,,,0c0db095-ab96-4056-b48b-33145397b7fc,,True,,
16,9592,5f1f5de5-115f-484d-95c4-19fba32feefc,2698,2,00:21:10.123,66,10,16,Shot,121,217,Barcelona,4,From Throw In,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,22,Right Center Forward,110.6,34.3,0.689,0.22532324,120.0,42.1,0.5,97,Goal,87,Open Play,38,Left Foot,93,Normal,6792.0,Pau López Sabata,,,aabaa0f4-a0e5-451d-9976-7d98bb813718,,True,,
17,69229,8c26119a-68e7-4a06-9b5d-621693193e7c,3046,2,00:34:12.709,79,12,16,Shot,203,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,113.3,42.8,0.5171,0.2868633,120.0,41.2,2.4,97,Goal,87,Open Play,37,Head,93,Normal,26658.0,Óscar Alfredo Ustari,,,01bdb94c-c3aa-4084-b421-5cba93aaf663,,,,
18,16231,e8443db2-f2b3-4e50-b773-a40da69f5a3b,2965,2,00:25:40.969,70,40,16,Shot,149,217,Barcelona,3,From Free Kick,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,101.4,44.2,1.094426,0.12636401,120.0,39.8,1.4,97,Goal,62,Free Kick,38,Left Foot,93,Normal,6768.0,Diego López Rodríguez,,,,True,,,
19,16231,b6723dfa-e919-4669-8234-4e4aaa523b2a,3605,2,00:43:19.806,88,19,16,Shot,183,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,108.1,36.1,0.591501,0.1718517,120.0,41.5,0.2,97,Goal,87,Open Play,38,Left Foot,93,Normal,6768.0,Diego López Rodríguez,,,7a155f64-7c15-49a1-a986-fd7ba629b2c2,,True,,
20,68316,33475e03-b72c-436b-b32e-20cfaacffa74,3428,2,00:45:14.961,90,14,16,Shot,195,217,Barcelona,6,From Counter,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,106.0,29.3,1.842082,0.1916186,120.0,41.2,0.6,97,Goal,87,Open Play,38,Left Foot,92,Lob,25901.0,Raúl Valbuena Cano,,,32dcbef6-73c3-41d3-b65a-41bf6f89e926,,True,,
21,16289,6a8896b1-09af-4286-a139-ced481c1b90e,2772,2,00:16:14.521,61,14,16,Shot,144,217,Barcelona,4,From Throw In,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,111.6,47.3,0.421224,0.1140077,120.0,36.7,0.2,97,Goal,87,Open Play,38,Left Foot,93,Normal,23344.0,Aitor Fernández Abarisketa,,,6c969932-c465-4627-9962-34f9d3e2e574,,,,
22,70225,0c183579-79f5-412c-8514-7b9d7a2c2851,726,1,00:16:16.637,16,16,16,Shot,35,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,105.1,51.4,0.9888,0.08624705,119.9,36.1,0.3,97,Goal,87,Open Play,38,Left Foot,95,Volley,26849.0,Júlio César Jacobi,,,,,True,,
23,70225,7c554e7b-9e6e-4165-b441-278d2933524e,2907,2,00:21:49.206,66,49,16,Shot,139,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,110.6,33.5,1.6664,0.4531749,120.0,38.4,2.4,97,Goal,87,Open Play,38,Left Foot,92,Lob,26849.0,Júlio César Jacobi,True,,2d1ba8c9-2799-44e2-8a7e-7220c933ede1,,,,
24,70225,89a19724-13e4-4230-b0a9-d09ff1e0f6c4,3545,2,00:40:18.184,85,18,16,Shot,167,217,Barcelona,4,From Throw In,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,117.8,47.8,0.54188,0.22740035,120.0,41.0,1.4,97,Goal,87,Open Play,38,Left Foot,93,Normal,26849.0,Júlio César Jacobi,,,b3e0fe2b-d27d-4b3a-b601-13bcb5806e11,,,,
25,69141,c47b7e56-5271-437d-9445-e1f356d53c86,217,1,00:05:02.928,5,2,16,Shot,16,217,Barcelona,5,Other,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,107.9,40.0,0.4634,0.76,120.0,41.8,0.2,97,Goal,88,Penalty,38,Left Foot,93,Normal,,,,,,,,,
26,69268,effd20cd-cdbf-481c-a272-a247cd013558,2259,2,00:06:05.842,51,5,16,Shot,117,217,Barcelona,4,From Throw In,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,114.9,48.6,0.44533,0.7335308,120.0,42.4,0.3,97,Goal,87,Open Play,40,Right Foot,93,Normal,6768.0,Diego López Rodríguez,True,,deae0aaf-1abe-44a1-aa11-61ebacc7e102,,,,
27,69268,435ca2e1-77e7-43db-bd08-30b6ab27fda9,3358,2,00:28:54.119,73,54,16,Shot,153,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,115.0,41.6,0.280514,0.50890344,120.0,40.8,0.2,97,Goal,87,Open Play,38,Left Foot,93,Normal,6768.0,Diego López Rodríguez,,,586a78d5-4433-4fe9-ab3e-916f35c834bd,,True,,
28,70272,d93eb97a-4bc6-4b38-864e-bdf2cd6f58f7,922,1,00:17:26.333,17,26,16,Shot,30,217,Barcelona,3,From Free Kick,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,109.6,50.2,0.896268,0.15374002,120.0,42.8,0.0,97,Goal,87,Open Play,38,Left Foot,93,Normal,6768.0,Diego López Rodríguez,,True,493c6931-5461-4a7f-b38a-58e2a4ac8ba4,,,,
29,265866,fbd94249-1889-43e0-92e4-7d3fc9deca76,2017,2,00:01:00.545,46,0,16,Shot,87,217,Barcelona,9,From Kick Off,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,106.8,42.9,0.971841,0.034902096,120.0,37.2,0.3,97,Goal,87,Open Play,37,Head,93,Normal,24255.0,Juan Carlos Martín Corral,,,7096e9be-a268-4395-8263-54255c11f8d5,,,,
30,265866,385488a0-f248-4ec9-a484-466a206e3242,3377,2,00:34:14.227,79,14,16,Shot,141,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,118.2,39.0,0.238423,0.87910664,120.0,40.0,0.0,97,Goal,87,Open Play,38,Left Foot,93,Normal,24255.0,Juan Carlos Martín Corral,,,,,True,True,
31,266525,2baaf345-5750-4809-b2c4-605d8cacb6af,3958,2,00:48:07.853,93,7,16,Shot,178,217,Barcelona,6,From Counter,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,110.1,39.8,0.877566,0.86313206,120.0,40.1,0.2,97,Goal,87,Open Play,38,Left Foot,93,Normal,25144.0,Diego Alves Carreira,,,,,True,True,
32,267343,e72d0aa7-4244-4f8a-bd42-de054f2b7817,2185,2,00:24:37.544,69,37,16,Shot,128,217,Barcelona,3,From Free Kick,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,111.3,40.8,0.7607,0.737694,120.0,41.8,0.2,97,Goal,87,Open Play,40,Right Foot,93,Normal,6692.0,Oier Olazábal Paredes,,,a6773bce-dd3e-4327-ae1d-bb1a8e7fb59e,,True,,
33,266440,99776d9a-0595-45cb-b88c-bbceaa1f1e73,1663,1,00:44:34.005,44,34,16,Shot,76,217,Barcelona,5,Other,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,108.0,40.0,0.694748,0.76,120.0,40.0,0.2,97,Goal,88,Penalty,38,Left Foot,93,Normal,,,,,,,,,
34,266440,903373ee-e6bf-4f32-84c7-c9bfedf74503,2059,2,00:06:57.774,51,57,16,Shot,95,217,Barcelona,2,From Corner,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,112.5,50.2,0.91632,0.07815761,120.0,43.3,0.6,97,Goal,87,Open Play,40,Right Foot,93,Normal,25144.0,Diego Alves Carreira,,True,63c0e870-3e08-4d02-947f-b0244a58383b,,,,
35,267197,7b1d8092-ed31-4f55-8735-a7e5a26642b2,182,1,00:04:28.716,4,28,16,Shot,8,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,113.5,36.1,0.4139,0.16755971,120.0,38.5,1.1,97,Goal,87,Open Play,37,Head,93,Normal,10277.0,Fabricio Martín Agosto Ramírez,,,08f74112-28f9-46fd-99cb-5fb35b16c530,,,,
